,movie,imdb,votes,mpaa,genre,director,writer,actor,country,budget,box_office_wknd1,box_office_dom,box_office_gross,prod_company,runtime
539,A Dog's Journey,7.5,17242.0,PG,Adventure,Gail Mancuso,W. Bruce Cameron,Josh Gad,China,16000000.0,8030085.0,22782371.0,75727748.0,DreamWorks,109.0
540,A Bad Moms Christmas,5.6,40334.0,R,Comedy,"Jon Lucas, Scott Moore",Jon Lucas,Mila Kunis,USA,28000000.0,16759161.0,72110659.0,130560428.0,Huayi Brothers Media,104.0
541,20th Century Women,7.3,38986.0,R,Comedy,Mike Mills,Mike Mills,Annette Bening,USA,7000000.0,111200.0,5664764.0,7214806.0,A24,119.0
542,Why Him?,6.2,98872.0,R,Comedy,John Hamburg,John Hamburg,Zoey Deutch,USA,38000000.0,11002986.0,60323786.0,118102725.0,Twentieth Century Fox,111.0
543,The Intruder,5.6,12373.0,PG-13,Drama,Deon Taylor,David Loughery,Michael Ealy,USA,8000000.0,10855054.0,35419122.0,36599361.0,Screen Gems,102.0
544,Hitman: Agent 47,5.7,84449.0,R,Action,Aleksander Bach,Skip Woods,Rupert Friend,USA,35000000.0,8326530.0,22467450.0,82347656.0,Twentieth Century Fox,96.0
545,Action Point,5.1,9698.0,R,Comedy,Tim Kirkby,John Altschuler,Johnny Knoxville,USA,19000000.0,2390164.0,5059608.0,5103663.0,Paramount Pictures,85.0
546,The Walk,7.3,117912.0,PG,Action,Robert Zemeckis,Robert Zemeckis,Joseph Gordon-Levitt,USA,35000000.0,1560299.0,10137502.0,61181942.0,Sony Pictures Entertainment (SPE),123.0
547,Macbeth,6.6,52155.0,R,Drama,Justin Kurzel,Todd Louiso,Michael Fassbender,UK,15000000.0,69833.0,1110707.0,16322067.0,See-Saw Films,113.0
548,Stronger,6.9,39324.0,R,Biography,David Gordon Green,John Pollono,Jake Gyllenhaal,USA,30000000.0,1611040.0,4211129.0,8503658.0,Lionsgate,119.0
549,Morgan,5.8,38521.0,R,Action,Luke Scott,Seth W. Owen,Kate Mara,USA,8000000.0,2012709.0,3915251.0,8809407.0,Burk A Project,92.0
550,Thoroughbreds,6.7,32853.0,R,Comedy,Cory Finley,Cory Finley,Olivia Cooke,USA,6000000.0,1224430.0,3072605.0,3187255.0,B Story,92.0
551,American Ultra,6.1,83347.0,R,Action,Nima Nourizadeh,Max Landis,Jesse Eisenberg,USA,28000000.0,5454284.0,14440985.0,27262374.0,PalmStar Media,96.0
552,Bridget Jones's Baby,6.5,66800.0,R,Comedy,Sharon Maguire,Helen Fielding,Renée Zellweger,USA,35000000.0,8571785.0,24252420.0,211952420.0,Universal Pictures,123.0
553,The Purge: Election Year,6.0,88159.0,R,Action,James DeMonaco,James DeMonaco,Frank Grillo,USA,10000000.0,31515110.0,79213375.0,118587880.0,Universal Pictures,108.0
554,Mechanic: Resurrection,5.7,74746.0,R,Action,Dennis Gansel,Lewis John Carlino,Jason Statham,USA,40000000.0,7456525.0,21218403.0,125729635.0,Summit Entertainment,98.0
555,Zoolander 2,4.7,63825.0,PG-13,Action,Ben Stiller,Justin Theroux,Ben Stiller,USA,50000000.0,13841146.0,28848693.0,56722693.0,Panorama Films,101.0
556,A Monster Calls,7.5,79027.0,PG-13,Adventure,J.A. Bayona,Patrick Ness,Lewis MacDougall,UK,43000000.0,30909.0,3740823.0,47309313.0,Participant,108.0
557,Gold,6.7,55812.0,R,Crime,Stephen Gaghan,Patrick Massett,Matthew McConaughey,USA,20000000.0,3471316.0,7227038.0,14880939.0,Black Bear Pictures,120.0
558,Paper Towns,6.3,93779.0,PG-13,Comedy,Jake Schreier,Scott Neustadter,Nat Wolff,USA,12000000.0,12650140.0,32000304.0,85512300.0,Fox 2000 Pictures,109.0
559,Popstar: Never Stop Never Stopping,6.7,53438.0,R,Comedy,"Akiva Schaffer, Jorma Taccone",Andy Samberg,Andy Samberg,USA,20000000.0,4698715.0,9639125.0,9680029.0,Universal Pictures,87.0
560,Going in Style,6.6,75122.0,PG-13,Comedy,Zach Braff,Theodore Melfi,Michael Caine,USA,25000000.0,11932330.0,45018541.0,84918541.0,De Line Pictures,96.0
561,The Darkest Minds,5.7,27388.0,PG-13,Action,Jennifer Yuh Nelson,Chad Hodge,Amandla Stenberg,USA,34000000.0,5842609.0,12695691.0,41142379.0,21 Laps Entertainment,104.0
562,The Bronze,6.1,9727.0,R,Comedy,Bryan Buckley,Melissa Rauch,Melissa Rauch,USA,3500000.0,386328.0,615816.0,615816.0,Duplass Brothers Productions,100.0
563,Hotel Transylvania 2,6.7,104303.0,PG,Animation,Genndy Tartakovsky,Robert Smigel,Adam Sandler,USA,80000000.0,48464322.0,169700110.0,474800000.0,Columbia Pictures,89.0
564,The Kid,5.9,6336.0,R,Biography,Vincent D'Onofrio,Vincent D'Onofrio,Jake Schur,USA,8000000.0,514286.0,1508593.0,1553483.0,Mimran Schur Pictures,100.0
565,Insidious: Chapter 3,6.1,91325.0,PG-13,Horror,Leigh Whannell,Leigh Whannell,Dermot Mulroney,Canada,10000000.0,22692741.0,52218558.0,112983889.0,Gramercy Pictures (I),97.0
566,Tulip Fever,6.2,17968.0,R,Drama,Justin Chadwick,Deborah Moggach,Alicia Vikander,UK,25000000.0,1158017.0,2455635.0,9204549.0,Worldview Entertainment,105.0
567,Keeping Up with the Joneses,5.9,56394.0,PG-13,Action,Greg Mottola,Michael LeSieur,Zach Galifianakis,USA,40000000.0,5461475.0,14904426.0,29918745.0,Fox 2000 Pictures,105.0
568,Second Act,5.8,21262.0,PG-13,Comedy,Peter Segal,Justin Zackham,Jennifer Lopez,USA,16000000.0,6489983.0,39282227.0,72294066.0,Nuyorican Productions,103.0
569,The Happytime Murders,5.4,23378.0,R,Action,Brian Henson,Todd Berger,Melissa McCarthy,USA,40000000.0,9532425.0,20706452.0,27506452.0,STX Entertainment,91.0
570,Girls Trip,6.2,33631.0,R,Adventure,Malcolm D. Lee,Erica Rivinoja,Regina Hall,USA,19000000.0,31201920.0,115171585.0,140552359.0,Perfect World Pictures,122.0
571,Extraction,4.1,9951.0,R,Action,Steven C. Miller,Umair Aleem,Bruce Willis,USA,12000000.0,10948.0,16775.0,710636.0,Emmett/Furla/Oasis Films (EFO Films),92.0
572,By the Sea,5.3,18229.0,R,Drama,Angelina Jolie (as Angelina Jolie Pitt),Angelina Jolie,Brad Pitt,France,10000000.0,96250.0,538460.0,3334927.0,Universal Pictures,122.0
573,Mortdecai,5.5,65990.0,R,Action,David Koepp,Eric Aronson,Johnny Depp,UK,60000000.0,4200586.0,7696134.0,47275695.0,MWM Studios,107.0
574,Jackie,6.7,71784.0,R,Biography,Pablo Larraín,Noah Oppenheim,Natalie Portman,USA,9000000.0,278715.0,13960394.0,24270399.0,Fox Searchlight Pictures,100.0
575,Blackhat,5.4,51364.0,R,Action,Michael Mann,Morgan Davis Foehl,Chris Hemsworth,USA,70000000.0,3901815.0,8005980.0,19652057.0,Forward Pass,133.0
576,Triple Threat,5.6,9064.0,R,Action,Jesse V. Johnson,Joey O'Bryan,Tony Jaa,Thailand,10000000.0,5936.0,76289.0,345900.0,Aurora Alliance Films,96.0
577,Forever My Girl,6.7,14020.0,PG,Drama,Bethany Ashton Wolf,Bethany Ashton Wolf,Alex Roe,USA,3500000.0,4245630.0,16376066.0,16376066.0,LD Entertainment,108.0
578,Home,6.6,90560.0,PG,Animation,Tim Johnson,Tom J. Astle,Jim Parsons,USA,135000000.0,52107731.0,177397510.0,386041607.0,DreamWorks Animation,94.0
579,Impractical Jokers: The Movie,5.9,4320.0,PG-13,Comedy,Chris Henchy,Chris Henchy,Paula Abdul,USA,3000000.0,2607049.0,10691091.0,10691091.0,Funny or Die,92.0
580,The Gunman,5.8,38391.0,R,Action,Pierre Morel,Jean-Patrick Manchette,Sean Penn,USA,40000000.0,5028702.0,10664749.0,24177137.0,Open Road Films (II),115.0
581,Suburbicon,5.7,39291.0,R,Comedy,George Clooney,Joel Coen,Matt Damon,UK,25000000.0,2840246.0,5775178.0,12751667.0,Black Bear Pictures,105.0
582,Victor Frankenstein,6.0,51416.0,PG-13,Drama,Paul McGuigan,Max Landis,Daniel Radcliffe,UK,65000000.0,2469341.0,5775076.0,34227298.0,Davis Entertainment,110.0
583,Wonder Wheel,6.2,24281.0,PG-13,Drama,Woody Allen,Woody Allen,Justin Timberlake,USA,25000000.0,125570.0,1404061.0,15889124.0,Amazon Studios,101.0
584,Breakthrough,6.2,7834.0,PG,Biography,Roxann Dawson,Joyce Smith,Marcel Ruiz,USA,14000000.0,11282333.0,40713082.0,50444358.0,Fox 2000 Pictures,116.0
585,Office Christmas Party,5.8,66549.0,R,Comedy,"Josh Gordon, Will Speck",Jon Lucas,Jason Bateman,USA,45000000.0,16890204.0,54767494.0,114501299.0,DreamWorks,105.0
586,Wonder Park,5.8,9446.0,PG,Animation,Dylan Brown (uncredited),Josh Appelbaum,Sofia Mali,Spain,90000000.0,15853646.0,45216793.0,119559110.0,Paramount Animation,85.0
587,Masterminds,5.8,49538.0,PG-13,Biography,Jared Hess,Chris Bowman,Zach Galifianakis,USA,25000000.0,6541205.0,17368022.0,29674699.0,Broadway Video,95.0
588,Missing Link,6.7,20436.0,PG,Animation,Chris Butler,Chris Butler,Hugh Jackman,Canada,100000000.0,5944950.0,16649539.0,26427313.0,Annapurna Pictures,93.0
589,The Kid Who Would Be King,6.0,14153.0,PG,Action,Joe Cornish,Joe Cornish,Louis Ashbourne Serkis,UK,59000000.0,7173887.0,16790790.0,32140970.0,Big Talk Productions,120.0
590,The Zookeeper's Wife,7.0,37659.0,PG-13,Biography,Niki Caro,Angela Workman,Jessica Chastain,Czech Republic,20000000.0,3288835.0,17571660.0,26152835.0,Scion Films,127.0
591,Gotti,4.8,13322.0,R,Biography,Kevin Connolly,Leo Rossi,John Travolta,Canada,10000000.0,1719902.0,4343227.0,6412349.0,Emmett/Furla/Oasis Films (EFO Films),112.0
592,Home Again,5.8,27265.0,PG-13,Comedy,Hallie Meyers-Shyer,Hallie Meyers-Shyer,Reese Witherspoon,USA,12000000.0,8567881.0,27020284.0,37270721.0,Black Bicycle Entertainment,97.0
593,The Prodigy,5.8,22263.0,R,Horror,Nicholas McCarthy,Jeff Buhler,Taylor Schilling,USA,6000000.0,5853061.0,14856291.0,21150265.0,Orion Pictures,92.0
594,The Ottoman Lieutenant,6.6,24167.0,R,Drama,Joseph Ruben,Jeff Stockwell,Michiel Huisman,Turkey,40000000.0,149830.0,240978.0,413844.0,ES Film,106.0
595,I Saw the Light,5.8,6210.0,R,Biography,Marc Abraham,Marc Abraham,Tom Hiddleston,USA,13000000.0,45471.0,1646788.0,1767963.0,BRON Studios,123.0
596,"Roman J. Israel, Esq.",6.5,31262.0,PG-13,Crime,Dan Gilroy,Dan Gilroy,Denzel Washington,Canada,22000000.0,61999.0,11962778.0,13025860.0,BRON Studios,122.0
597,Rules Don't Apply,5.7,9438.0,PG-13,Comedy,Warren Beatty,Warren Beatty,Lily Collins,USA,25000000.0,1589625.0,3652206.0,3885342.0,New Regency Productions,127.0
598,Victoria & Abdul,6.8,31067.0,PG-13,Biography,Stephen Frears,Lee Hall,Judi Dench,UK,21000000.0,158845.0,22245070.0,66558465.0,BBC Films,111.0
599,Thank You for Your Service,6.5,11874.0,R,Biography,Jason Hall,David Finkel,Miles Teller,USA,20000000.0,3817700.0,9536300.0,9995692.0,DreamWorks,109.0
600,Mr. Holmes,6.9,60756.0,PG,Drama,Bill Condon,Mitch Cullin,Ian McKellen,UK,11000000.0,2434908.0,17737646.0,29355203.0,Miramax,104.0
601,Run All Night,6.6,100272.0,R,Action,Jaume Collet-Serra,Brad Ingelsby,Liam Neeson,USA,50000000.0,11012305.0,26461644.0,71561644.0,Warner Bros.,114.0
602,Stan & Ollie,7.2,30634.0,PG,Biography,Jon S. Baird,Jeff Pope,Steve Coogan,UK,10000000.0,78104.0,5470235.0,24420923.0,Entertainment One,98.0
603,Free State of Jones,6.9,50202.0,R,Action,Gary Ross,Gary Ross,Matthew McConaughey,USA,50000000.0,7572206.0,20810036.0,25035950.0,Route One Entertainment,139.0
604,Angry Birds,6.3,78692.0,PG,Animation,"Clay Kaytis, Fergal Reilly",Jon Vitti,Jason Sudeikis,Finland,73000000.0,38155177.0,107509366.0,352333929.0,Columbia Pictures,97.0
605,Black Christmas,3.2,8823.0,PG-13,Horror,Sophia Takal,Sophia Takal,Imogen Poots,USA,5000000.0,4240245.0,10429730.0,18529730.0,Universal Pictures,92.0
606,Mother's Day,5.7,32172.0,PG-13,Comedy,Garry Marshall,Anya Kochoff,Jennifer Aniston,USA,25000000.0,8369184.0,32492859.0,48782670.0,Open Road Films (II),118.0
607,Dope,7.2,79982.0,R,Comedy,Rick Famuyiwa,Rick Famuyiwa,Shameik Moore,USA,7000000.0,6100010.0,17506470.0,17986781.0,i am OTHER,103.0
608,Krampus,6.1,60463.0,PG-13,Comedy,Michael Dougherty,Todd Casey,Adam Scott,USA,15000000.0,16293325.0,42725475.0,61548707.0,Legendary Entertainment,98.0
609,Loving,7.0,30912.0,PG-13,Biography,Jeff Nichols,Jeff Nichols,Ruth Negga,UK,9000000.0,159615.0,7751969.0,12957265.0,Raindog Films,123.0
610,The Hollars,6.5,11266.0,PG-13,Comedy,John Krasinski,Jim Strouse,Sharlto Copley,USA,3800000.0,38210.0,1016985.0,1138609.0,Sycamore Pictures,88.0
611,The Bye Bye Man,4.2,21233.0,PG-13,Drama,Stacy Title,Jonathan Penner,Douglas Smith,USA,7400000.0,13501349.0,22395806.0,29874280.0,Huayi Brothers Media,96.0
612,"McFarland, USA",7.4,34801.0,PG,Biography,Niki Caro,Christopher Cleveland,Kevin Costner,USA,17000000.0,11020798.0,44482410.0,45710059.0,Mayhem Pictures,129.0
613,Freeheld,6.6,11518.0,PG-13,Biography,Peter Sollett,Ron Nyswaner,Julianne Moore,USA,7000000.0,37983.0,573335.0,1474471.0,Double Feature Films,103.0
614,The House,5.6,39849.0,R,Comedy,Andrew Jay Cohen,Brendan O'Brien,Will Ferrell,USA,40000000.0,8724795.0,25584504.0,34184504.0,Gary Sanchez Productions,88.0
615,The SpongeBob Movie: Sponge Out of Water,6.0,47752.0,PG,Animation,"Paul Tibbitt, Mike Mitchell",Jonathan Aibel,Tom Kenny,USA,74000000.0,55365012.0,162994032.0,325186032.0,Paramount Animation,92.0
616,Blair Witch,5.0,40423.0,R,Horror,Adam Wingard,Simon Barrett,James Allen McCune,Canada,5000000.0,9576057.0,20777061.0,45173154.0,Lionsgate,89.0
617,The Man Who Knew Infinity,7.2,49852.0,PG-13,Biography,Matt Brown (as Matthew Brown),Matt Brown,Dev Patel,UK,10000000.0,80325.0,3866794.0,12252684.0,Edward R. Pressman Film,108.0
618,Wish Upon,5.0,17850.0,PG-13,Drama,John R. Leonetti,Barbara Marshall,Joey King,USA,12000000.0,5467084.0,14301505.0,23468586.0,Broad Green Pictures,90.0
619,Irrational Man,6.6,57409.0,R,Comedy,Woody Allen,Woody Allen,Joaquin Phoenix,USA,11000000.0,175312.0,4030360.0,27391084.0,Gravier Productions,95.0
620,I Can Only Imagine,7.3,13788.0,PG,Biography,"Andrew Erwin (as The Erwin Brothers), Jon Erwin (as The Erwin Brothers)",Bart Millard,J. Michael Finley,USA,7000000.0,17108914.0,83482352.0,86086881.0,Kevin Downes Productions,110.0
621,Miracles from Heaven,7.1,20871.0,PG,Biography,Patricia Riggen,Christy Beam,Jennifer Garner,USA,13000000.0,14812393.0,61705123.0,73983003.0,Columbia Pictures,109.0
622,The 15:17 to Paris,5.2,28054.0,PG-13,Biography,Clint Eastwood,Dorothy Blyskal,Alek Skarlatos,USA,30000000.0,12554286.0,36276286.0,57076286.0,Warner Bros.,94.0
623,Money Monster,6.5,92814.0,R,Crime,Jodie Foster,Jamie Linden,George Clooney,USA,27000000.0,14788157.0,41012075.0,93282604.0,TriStar Pictures,98.0
624,All I See Is You,5.4,10412.0,R,Drama,Marc Forster,Sean Conway,Blake Lively,USA,30000000.0,144076.0,217644.0,678150.0,2DUX²,109.0
625,The Photograph,5.9,2772.0,PG-13,Drama,Stella Meghie,Stella Meghie,Issa Rae,USA,16000000.0,12181865.0,20578185.0,20690779.0,Perfect World Pictures,106.0
626,Max Steel,4.6,17975.0,PG-13,Action,Stewart Hendler,Christopher L. Yost,Ben Winchell,UK,10000000.0,2182216.0,3818664.0,6272403.0,Dolphin Entertainment,92.0
627,Little,5.5,10046.0,PG-13,Comedy,"Tina Gordon (as Tina Gordon Chism), Tina Gordon",Tracy Oliver,Regina Hall,USA,20000000.0,15405455.0,40860481.0,48987096.0,Universal Pictures,109.0
628,Poltergeist,4.9,54353.0,PG-13,Horror,Gil Kenan,David Lindsay-Abaire,Sam Rockwell,USA,35000000.0,22620386.0,47425125.0,95437994.0,Fox 2000 Pictures,93.0
629,The Forest,4.8,39486.0,PG-13,Horror,Jason Zada,Nick Antosca,Natalie Dormer,USA,10000000.0,12741176.0,26594261.0,39712000.0,DragonCove Studios,93.0
630,Mississippi Grind,6.4,20246.0,R,Comedy,"Anna Boden, Ryan Fleck",Anna Boden,Ben Mendelsohn,USA,6000000.0,12434.0,130541.0,422746.0,Sycamore Pictures,108.0
631,The Book of Henry,6.6,23388.0,PG-13,Crime,Colin Trevorrow,Gregg Hurwitz,Naomi Watts,USA,10000000.0,1424540.0,4504974.0,4596705.0,Double Nickel Entertainment,105.0
632,Keanu,6.3,44990.0,R,Action,Peter Atencio,Jordan Peele,Keegan-Michael Key,USA,15000000.0,9453224.0,20591853.0,20651333.0,Artists First,100.0
633,Love the Coopers,5.8,19824.0,PG-13,Comedy,Jessie Nelson,Steven Rogers,Steve Martin,USA,17000000.0,8317545.0,26302731.0,42426912.0,CBS Films,107.0
634,Z for Zachariah,6.0,27750.0,PG-13,Drama,Craig Zobel,Nissar Modi,Chiwetel Ejiofor,Iceland,7500000.0,56902.0,121461.0,381839.0,Silver Reel,98.0
635,Bleed for This,6.8,24555.0,R,Biography,Ben Younger,Ben Younger,Miles Teller,USA,6000000.0,2366810.0,5083906.0,6698679.0,Verdi Productions,117.0
636,All Eyez on Me,5.8,20753.0,R,Biography,Benny Boom,Jeremy Haft,Demetrius Shipp Jr.,USA,40000000.0,26435354.0,44922302.0,55668698.0,Summit Entertainment,139.0
637,Hell Fest,5.5,13032.0,R,Horror,Gregory Plotkin,Seth M. Sherwood,Cynthea Mercado,USA,5500000.0,5130963.0,11107431.0,18159691.0,CBS Films,89.0
638,Ben-Hur,5.7,40968.0,PG-13,Action,Timur Bekmambetov,Lew Wallace,Jack Huston,USA,100000000.0,11203815.0,26410477.0,94061311.0,LightWorkers Media,123.0
639,Tangerine,7.1,26492.0,R,Comedy,Sean Baker,Sean Baker,Kitana Kiki Rodriguez,USA,100000.0,60683.0,702354.0,828874.0,Duplass Brothers Productions,88.0
640,My Big Fat Greek Wedding 2,6.0,27866.0,PG-13,Comedy,Kirk Jones,Nia Vardalos,Nia Vardalos,USA,18000000.0,17861950.0,59689605.0,90632641.0,Gold Circle Films,94.0
641,We Are Your Friends,6.2,35347.0,R,Drama,Max Joseph,Max Joseph,Zac Efron,UK,2000000.0,1767308.0,3591417.0,11122090.0,StudioCanal,96.0
642,Storks,6.8,55018.0,PG,Animation,"Nicholas Stoller, Doug Sweetland",Nicholas Stoller,Andy Samberg,USA,70000000.0,21311407.0,72679278.0,183388953.0,RatPac-Dune Entertainment,87.0
643,Monster Trucks,5.6,15062.0,PG,Action,Chris Wedge,Derek Connolly,Lucas Till,Canada,125000000.0,10950705.0,33370166.0,64493915.0,Paramount Pictures,104.0
644,The 33,6.9,35121.0,PG-13,Biography,Patricia Riggen,Mikko Alanne,Antonio Banderas,Chile,26000000.0,5787266.0,12227722.0,27972023.0,Alcon Entertainment,127.0
645,Billy Lynn's Long Halftime Walk,6.2,20838.0,R,Action,Ang Lee,Ben Fountain,Joe Alwyn,UK,40000000.0,114129.0,1738477.0,30930984.0,Bona Film Group,113.0
646,The Hurricane Heist,5.1,18511.0,PG-13,Action,Rob Cohen,Scott Windhauser,Toby Kebbell,UK,35000000.0,3024399.0,6115825.0,32517248.0,Foresight Unlimited,103.0
647,The Catcher Was a Spy,6.2,7127.0,R,Biography,Ben Lewin,Robert Rodat,Paul Rudd,USA,14000000.0,114771.0,725223.0,953953.0,PalmStar Media,98.0
648,The Lego Ninjago Movie,6.0,21892.0,PG,Animation,,Bob Logan,Jackie Chan,USA,70000000.0,20433071.0,59281555.0,123081555.0,Animal Logic,101.0
649,Greater,7.3,4317.0,PG,Biography,David L. Hunt (as David Hunt),Brian Reindl,Neal McDonough,USA,9000000.0,627974.0,2000620.0,2000620.0,Greater Productions,130.0
650,The Perfect Match,4.9,3528.0,R,Comedy,Bille Woodruff,Brandon Broussard,Terrence Jenkins,USA,5000000.0,4294232.0,9669521.0,10414738.0,Codeblack Films,96.0
651,The Lazarus Effect,5.2,40497.0,PG-13,Horror,David Gelb,Luke Dawson,Olivia Wilde,USA,3300000.0,10203437.0,25801570.0,38356892.0,Blumhouse Productions,83.0
652,Equals,6.1,27029.0,PG-13,Drama,Drake Doremus,Nathan Parker,Nicholas Hoult,USA,16000000.0,9206.0,33258.0,2084628.0,Freedom Media,101.0
653,My All-American,7.2,5866.0,PG,Biography,Angelo Pizzo,Angelo Pizzo,Aaron Eckhart,USA,20000000.0,1365000.0,2246000.0,2246000.0,Anthem Productions,118.0
654,Hot Tub Time Machine 2,5.1,36449.0,R,Comedy,Steve Pink,Josh Heald,Rob Corddry,USA,14000000.0,5963324.0,12314651.0,13081651.0,Paramount Pictures,93.0
655,Middle School: The Worst Years of My Life,6.1,7545.0,PG,Comedy,Steve Carr,Chris Bowman,Griffin Gluck,USA,8500000.0,6878437.0,20007149.0,23316139.0,CBS Films,92.0
656,The Wedding Ringer,6.6,70067.0,R,Comedy,Jeremy Garelick,Jeremy Garelick,Kevin Hart,USA,23000000.0,20649306.0,64460211.0,79799880.0,LStar Capital,101.0
657,Tyler Perry's A Madea Family Funeral,4.4,3643.0,PG-13,Comedy,Tyler Perry,Tyler Perry,Tyler Perry,USA,20000000.0,27062332.0,73257045.0,74747725.0,The Tyler Perry Company,109.0
658,Father Figures,5.5,17506.0,R,Comedy,Lawrence Sher,Justin Malen,Owen Wilson,USA,25000000.0,3287451.0,17501244.0,25601244.0,Alcon Entertainment,113.0
659,Ben Is Back,6.7,17494.0,R,Drama,Peter Hedges,Peter Hedges,Julia Roberts,USA,13000000.0,80734.0,3703184.0,10134204.0,Black Bear Pictures,103.0
660,A Dog's Way Home,6.7,13635.0,PG,Adventure,Charles Martin Smith,W. Bruce Cameron,Ashley Judd,China,18000000.0,11251263.0,42004346.0,80708134.0,Bona Film Group,96.0
661,"Everything, Everything",6.4,31835.0,PG-13,Drama,Stella Meghie,J. Mills Goodloe,Amandla Stenberg,USA,10000000.0,11727390.0,34121140.0,61621140.0,Alloy Entertainment,96.0
662,Every Day,6.4,17659.0,PG-13,Drama,Michael Sucsy,Jesse Andrews,Angourie Rice,Canada,4900000.0,3016149.0,6102076.0,10421847.0,Likely Story,97.0
663,Sisters,6.0,62192.0,R,Comedy,Jason Moore,Paula Pell,Amy Poehler,USA,30000000.0,13922855.0,87044645.0,105011053.0,Little Stranger,118.0
664,The Little Prince,7.7,55414.0,PG,Animation,Mark Osborne,Irena Brignull,Jeff Bridges,France,81200000.0,116927.0,1339152.0,97571250.0,Onyx Films,108.0
665,Hands of Stone,6.6,14722.0,R,Biography,Jonathan Jakubowicz,Jonathan Jakubowicz,Edgar Ramírez,Panama,20000000.0,1751388.0,4712792.0,4978353.0,Fuego Films,111.0
666,Captain Underpants: The First Epic Movie,6.2,24463.0,PG,Animation,David Soren,Nicholas Stoller,Kevin Hart,USA,38000000.0,23851539.0,73921000.0,125427681.0,DreamWorks Animation,89.0
667,Nobody's Fool,4.8,6130.0,R,Comedy,Tyler Perry,Tyler Perry,Tiffany Haddish,USA,19000000.0,13743111.0,31713110.0,33705333.0,BET Films,110.0
668,Barbershop: The Next Cut,5.9,14147.0,PG-13,Comedy,Malcolm D. Lee,Kenya Barris,Ice Cube,USA,20000000.0,20242415.0,54030051.0,55030051.0,Cube Vision,111.0
669,Just Getting Started,4.5,6076.0,PG-13,Comedy,Ron Shelton,Ron Shelton,Morgan Freeman,USA,22000000.0,3201459.0,6069605.0,7634022.0,Broad Green Pictures,91.0
670,Shut In,4.8,12452.0,PG-13,Drama,Farren Blackburn,Christina Hodson,Naomi Watts,Canada,10000000.0,3613567.0,6900335.0,13082071.0,EuropaCorp,91.0
671,A Walk in the Woods,6.3,24245.0,R,Adventure,Ken Kwapis,Michael Arndt,Robert Redford,USA,8000000.0,8246267.0,29504281.0,37461274.0,Route One Entertainment,104.0
672,Fifty Shades of Black,3.5,19234.0,R,Comedy,Michael Tiddes,Marlon Wayans,Marlon Wayans,USA,5000000.0,5900528.0,11686940.0,22227514.0,Fermion Films,92.0
673,Project Almanac,6.4,75151.0,PG-13,Drama,Dean Israelite,Jason Pagan,Amy Landecker,USA,12000000.0,8310252.0,22348241.0,33213241.0,Insurge Pictures,106.0
674,Rings,4.5,37119.0,PG-13,Drama,F. Javier Gutiérrez,David Loucka,Matilda Anna Ingrid Lutz,USA,25000000.0,13002632.0,27793018.0,83080890.0,Macari/Edelstein,102.0
675,"Paul, Apostle of Christ",6.6,7019.0,PG-13,Adventure,Andrew Hyatt,Terence Berden,Jim Caviezel,USA,5000000.0,5172585.0,17560475.0,25915966.0,Affirm Films,108.0
676,The Darkness,4.4,14540.0,PG-13,Horror,Greg McLean,Greg McLean,Kevin Bacon,USA,4000000.0,4950859.0,10753574.0,10898293.0,Blumhouse Productions,92.0
677,Hot Pursuit,5.1,47769.0,PG-13,Action,Anne Fletcher,David Feeney,Reese Witherspoon,USA,35000000.0,13942258.0,34580201.0,51380201.0,Metro-Goldwyn-Mayer (MGM),87.0
678,The Birth of a Nation,6.4,19745.0,R,Biography,Nate Parker,Nate Parker,Nate Parker,USA,8500000.0,7004254.0,15861566.0,16779212.0,BRON Studios,120.0
679,Kin,5.8,13444.0,PG-13,Action,"Jonathan Baker, Josh Baker",Jonathan Baker,Myles Truitt,USA,30000000.0,3035618.0,5718096.0,10313019.0,Summit Entertainment,102.0
680,Truth,6.8,18499.0,R,Biography,James Vanderbilt,James Vanderbilt,Cate Blanchett,Australia,9600000.0,66232.0,2541854.0,5383097.0,Sony Pictures Classics,125.0
681,Teen Titans GO! to the Movies,6.8,15965.0,PG,Animation,"Aaron Horvath, Peter Rida Michail",Michael Jelenic,Greg Cipes,USA,10000000.0,10411189.0,29790236.0,52090236.0,Warner Bros. Animation,84.0
682,Kidnap,5.9,33088.0,R,Action,Luis Prieto,Knate Lee,Halle Berry,USA,21000000.0,10016323.0,30971040.0,34814102.0,Di Bonaventura Pictures,95.0
683,Kickboxer: Retaliation,5.0,4380.0,R,Action,Dimitri Logothetis,Jean-Claude Van Damme,Alain Moussi,USA,11000000.0,3061.0,4537.0,101690.0,Our House Films,110.0
684,Chappaquiddick,6.4,11605.0,PG-13,Drama,John Curran,Taylor Allen,Jason Clarke,USA,13000000.0,5765854.0,17395520.0,18263470.0,Apex Entertainment,106.0
685,Diary of a Wimpy Kid: The Long Haul,4.3,6863.0,PG,Comedy,David Bowers,Jeff Kinney,Jason Drucker,USA,22000000.0,7126084.0,20738724.0,40140972.0,Twentieth Century Fox,91.0
686,Super Troopers 2,6.0,23403.0,R,Comedy,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar,USA,13500000.0,15181624.0,30617396.0,31626386.0,Votiv Films,100.0
687,Blaze,6.6,2619.0,R,Biography,Ethan Hawke,Ethan Hawke,Ben Dickey,USA,1200000.0,44050.0,704955.0,704955.0,Ansgar Media,129.0
